Region,Neighborhood
North,Kavundampalayam
North,Chinnavedampatti
North,Press Colony
North,Vadamadurai
North,Kanuvai
North,KNG Pudur
North,NGGO Colony
North,Thudiyalur
North,Vellakinar
North,Bharathi Nagar
North,Sivanandhapuram
Central,Rathinapuri
Central,Tatabad
Central,Sivananda Colony
Central,Town Hall
Central,Gandhipuram
Central,Ramnagar
Central,Sukrawarpettai
Central,R.S Puram
Central,Saibaba Colony
Central,Venkitapuram
Central,Ponnaiah Raja Puram
Central,Race Course
Central,Gopalapuram
Central,Puliakulam
Central,Siddhapudur
Central,Avarampalayam
Central,Papanaickenpalayam
South,Ukkadam
South,Sundakkamuthur
South,Selvapuram
South,Podanur
South,Kottaimedu
South,Karumbukkadai
South,Sundarapuram
South,Kurichi
South,Eachanari
South,Chettipalayam
South,Vellalore
South,Kuniyamuthur
South,Sugunapuram
South,Nanjundapuram
East,Ramanathapuram
East,Ondipudur
East,Singanallur
East,Varadharajapuram
East,Peelamedu
East,Meena Estate
East,Udayampalayam
East,Nehru Nagar
East,Vilankurichi
East,Ganapathy
East,Cheran ma Nagar
East,Nallampalayam
East,Gandhimanagar
East,Chinniampalayam
East,Sowripalayam
East,G.V. Residency
East,Uppilipalayam
West,Kovaipudur
West,Perur
West,Vadavalli
West,Thondamuthur
West,Veerakeralam
